Run Fondo;fecha;serie;periodo;valor_renta
8088;2023-06-04;B;1Y;-4.72%
8088;2023-06-04;B;YTD;-1.09%
8088;2023-06-05;B;1M;3.14%
8088;2023-06-05;B;3M;-0.16%
8088;2023-06-05;B;6M;-9.00%
8088;2023-06-05;B;1Y;-4.36%
8088;2023-06-05;B;YTD;-0.72%
8088;2023-06-06;B;1M;3.27%
8088;2023-06-06;B;3M;-0.30%
8088;2023-06-06;B;6M;-7.56%
8088;2023-06-06;B;1Y;-4.75%
8088;2023-06-06;B;YTD;-0.60%
8088;2023-06-07;B;1M;1.40%
8088;2023-06-07;B;3M;0.64%
8088;2023-06-07;B;6M;-8.06%
8088;2023-06-07;B;1Y;-7.64%
8088;2023-06-07;B;YTD;-2.41%
8088;2023-06-08;B;1M;0.42%
8088;2023-06-08;B;3M;0.44%
8088;2023-06-08;B;6M;-8.72%
8088;2023-06-08;B;1Y;-7.68%
8088;2023-06-08;B;YTD;-3.12%
8088;2023-06-09;B;1M;0.62%
8088;2023-06-09;B;3M;1.98%
8088;2023-06-09;B;6M;-6.17%
8088;2023-06-09;B;1Y;-7.08%
8088;2023-06-09;B;YTD;-3.23%
8088;2023-06-10;B;1M;1.33%
